from	to	source	database	from_index	to_index
BMP3	ACVR2B	ramilowski_known	ramilowski	L	R
BMP3	BMPR1A	ramilowski_known	ramilowski	L	R
BMP3	BMPR1B	ramilowski_known	ramilowski	L	R
BMP3	BMPR2	ramilowski_known	ramilowski	L	R
BMP4	ACVR1	ramilowski_known	ramilowski	L	R
BMP4	ACVR2A	ramilowski_known	ramilowski	L	R
BMP4	ACVR2B	ramilowski_known	ramilowski	L	R
BMP4	BMPR1A	ramilowski_known	ramilowski	L	R
BMP4	BMPR1B	ramilowski_known	ramilowski	L	R
BMP4	BMPR2	ramilowski_known	ramilowski	L	R
BMP5	ACVR1	ramilowski_known	ramilowski	L	R
BMP5	ACVR2A	ramilowski_known	ramilowski	L	R
BMP5	ACVR2B	ramilowski_known	ramilowski	L	R
BMP5	BMPR1A	ramilowski_known	ramilowski	L	R
BMP5	BMPR1B	ramilowski_known	ramilowski	L	R
BMP5	BMPR2	ramilowski_known	ramilowski	L	R
BMP6	ACVR1	ramilowski_known	ramilowski	L	R
BMP6	ACVR2A	ramilowski_known	ramilowski	L	R
BMP6	ACVR2B	ramilowski_known	ramilowski	L	R
BMP6	BMPR1A	ramilowski_known	ramilowski	L	R
BMP6	BMPR1B	ramilowski_known	ramilowski	L	R
BMP6	BMPR2	ramilowski_known	ramilowski	L	R
BMP7	ACVR1	ramilowski_known	ramilowski	L	R
BMP7	ACVR2A	ramilowski_known	ramilowski	L	R
BMP7	ACVR2B	ramilowski_known	ramilowski	L	R
BMP7	BMPR1A	ramilowski_known	ramilowski	L	R
BMP7	BMPR1B	ramilowski_known	ramilowski	L	R
BMP7	BMPR2	ramilowski_known	ramilowski	L	R
BMP8B	ACVR1	ramilowski_known	ramilowski	L	R
BMP8B	ACVR2A	ramilowski_known	ramilowski	L	R
BMP8B	ACVR2B	ramilowski_known	ramilowski	L	R
BMP8B	BMPR1A	ramilowski_known	ramilowski	L	R
BMP8B	BMPR1B	ramilowski_known	ramilowski	L	R
BMP8B	BMPR2	ramilowski_known	ramilowski	L	R
BTC	EGFR	ramilowski_known	ramilowski	L	R
BTC	ERBB3	ramilowski_known	ramilowski	L	R
BTC	ERBB4	ramilowski_known	ramilowski	L	R
BTLA	TNFRSF14	ramilowski_known	ramilowski	LR	LR
C3	C3AR1	ramilowski_known	ramilowski	L	R
C3	ITGAX	ramilowski_known	ramilowski	L	R
C3	ITGB2	ramilowski_known	ramilowski	L	LR
C3	LRP1	ramilowski_known	ramilowski	L	R
C5	C5AR1	ramilowski_known	ramilowski	L	R
C5	C5AR2	ramilowski_known	ramilowski	L	R
CALCA	CALCR	ramilowski_known	ramilowski	L	R
CALCA	CALCRL	ramilowski_known	ramilowski	L	R
CALCA	RAMP1	ramilowski_known	ramilowski	L	R
CALCB	CALCR	ramilowski_known	ramilowski	L	R
CALCB	CALCRL	ramilowski_known	ramilowski	L	R
CALCB	RAMP1	ramilowski_known	ramilowski	L	R
CALM1	MYLK	ramilowski_known	ramilowski	L	R
CALM1	MYLK2	ramilowski_known	ramilowski	L	R
CALM1	PDE1A	ramilowski_known	ramilowski	L	R
CALM1	PDE1B	ramilowski_known	ramilowski	L	R
CALM1	PDE1C	ramilowski_known	ramilowski	L	R
CALM2	MYLK	ramilowski_known	ramilowski	L	R
CALM2	MYLK2	ramilowski_known	ramilowski	L	R
CALM2	PDE1A	ramilowski_known	ramilowski	L	R
CALM2	PDE1B	ramilowski_known	ramilowski	L	R
CALM2	PDE1C	ramilowski_known	ramilowski	L	R
CALM3	MYLK	ramilowski_known	ramilowski	L	R
CALM3	MYLK2	ramilowski_known	ramilowski	L	R
CALM3	PDE1A	ramilowski_known	ramilowski	L	R
CALM3	PDE1B	ramilowski_known	ramilowski	L	R
CALM3	PDE1C	ramilowski_known	ramilowski	L	R
CALR	SCARF1	ramilowski_known	ramilowski	L	R
CAMP	FPR2	ramilowski_known	ramilowski	L	R
CCK	CCKAR	ramilowski_known	ramilowski	L	R
CCK	CCKBR	ramilowski_known	ramilowski	L	R
CCL11	ACKR2	ramilowski_known	ramilowski	L	R
CCL11	CCR2	ramilowski_known	ramilowski	L	R
CCL11	CCR3	ramilowski_known	ramilowski	L	R
CCL11	CCR5	ramilowski_known	ramilowski	L	R
CCL11	CXCR3	ramilowski_known	ramilowski	L	R
CCL13	ACKR2	ramilowski_known	ramilowski	L	R
CCL13	CCR1	ramilowski_known	ramilowski	L	R
CCL13	CCR2	ramilowski_known	ramilowski	L	R
CCL13	CCR3	ramilowski_known	ramilowski	L	R
CCL13	CCR5	ramilowski_known	ramilowski	L	R
CCL13	CXCR3	ramilowski_known	ramilowski	L	R
CCL14	ACKR2	ramilowski_known	ramilowski	L	R
CCL14	CCR1	ramilowski_known	ramilowski	L	R
CCL14	CCR5	ramilowski_known	ramilowski	L	R
CCL15	CCR1	ramilowski_known	ramilowski	L	R
CCL15	CCR3	ramilowski_known	ramilowski	L	R
CCL16	CCR1	ramilowski_known	ramilowski	L	R
CCL16	CCR2	ramilowski_known	ramilowski	L	R
CCL16	CCR5	ramilowski_known	ramilowski	L	R
CCL16	HRH4	ramilowski_known	ramilowski	L	R
CCL17	CCR4	ramilowski_known	ramilowski	L	R
CCL17	CCR8	ramilowski_known	ramilowski	L	R
CCL19	ACKR4	ramilowski_known	ramilowski	L	R
CCL19	CCR7	ramilowski_known	ramilowski	L	R
CCL19	CCRL2	ramilowski_known	ramilowski	L	R
CCL19	CXCR3	ramilowski_known	ramilowski	L	R
CCL1	CCR8	ramilowski_known	ramilowski	L	R
CCL20	CCR6	ramilowski_known	ramilowski	L	R
CCL20	CXCR3	ramilowski_known	ramilowski	L	R
CCL21	ACKR4	ramilowski_known	ramilowski	L	R
CCL21	CCR7	ramilowski_known	ramilowski	L	R
CCL21	CXCR3	ramilowski_known	ramilowski	L	R
CCL22	CCR4	ramilowski_known	ramilowski	L	R
CCL23	CCR1	ramilowski_known	ramilowski	L	R
CCL24	CCR2	ramilowski_known	ramilowski	L	R
CCL24	CCR3	ramilowski_known	ramilowski	L	R
CCL25	ACKR4	ramilowski_known	ramilowski	L	R
CCL25	CCR9	ramilowski_known	ramilowski	L	R
CCL26	CCR2	ramilowski_known	ramilowski	L	R
CCL26	CCR3	ramilowski_known	ramilowski	L	R
CCL27	CCR10	ramilowski_known	ramilowski	L	R
CCL28	CCR10	ramilowski_known	ramilowski	L	R
CCL28	CCR3	ramilowski_known	ramilowski	L	R
CCL2	ACKR2	ramilowski_known	ramilowski	L	R
CCL2	CCR1	ramilowski_known	ramilowski	L	R
CCL2	CCR2	ramilowski_known	ramilowski	L	R
CCL2	CCR3	ramilowski_known	ramilowski	L	R
CCL2	CCR4	ramilowski_known	ramilowski	L	R
CCL2	CCR5	ramilowski_known	ramilowski	L	R
CCL3	CCR1	ramilowski_known	ramilowski	L	R
CCL3	CCR5	ramilowski_known	ramilowski	L	R
CCL4	ACKR2	ramilowski_known	ramilowski	L	R
CCL4	CCR1	ramilowski_known	ramilowski	L	R
CCL4	CCR5	ramilowski_known	ramilowski	L	R
CCL4	CCR8	ramilowski_known	ramilowski	L	R
CCL5	ACKR2	ramilowski_known	ramilowski	L	R
CCL5	CCR1	ramilowski_known	ramilowski	L	R
CCL5	CCR3	ramilowski_known	ramilowski	L	R
CCL5	CCR4	ramilowski_known	ramilowski	L	R
CCL5	CCR5	ramilowski_known	ramilowski	L	R
CCL5	CXCR3	ramilowski_known	ramilowski	L	R
CCL5	GPR75	ramilowski_known	ramilowski	L	R
CCL7	ACKR2	ramilowski_known	ramilowski	L	R
CCL7	CCR1	ramilowski_known	ramilowski	L	R
CCL7	CCR2	ramilowski_known	ramilowski	L	R
CCL7	CCR3	ramilowski_known	ramilowski	L	R
CCL7	CCR5	ramilowski_known	ramilowski	L	R
CCL7	CXCR3	ramilowski_known	ramilowski	L	R
CCL8	ACKR2	ramilowski_known	ramilowski	L	R
CCL8	CCR1	ramilowski_known	ramilowski	L	R
CCL8	CCR2	ramilowski_known	ramilowski	L	R
CCL8	CCR3	ramilowski_known	ramilowski	L	R
CCL8	CCR5	ramilowski_known	ramilowski	L	R
CD24	SELP	ramilowski_known	ramilowski	L	R
CD34	SELL	ramilowski_known	ramilowski	L	R
CD40LG	CD40	ramilowski_known	ramilowski	L	R
CD70	CD27	ramilowski_known	ramilowski	L	R
CDH1	ITGAE	ramilowski_known	ramilowski	L	R
CDH1	ITGB7	ramilowski_known	ramilowski	L	R
CFH	SELL	ramilowski_known	ramilowski	L	R
CGA	FSHR	ramilowski_known	ramilowski	L	R
CGA	LHCGR	ramilowski_known	ramilowski	L	R
CGA	TSHR	ramilowski_known	ramilowski	L	R
CHAD	ITGA2	ramilowski_known	ramilowski	L	R
CHAD	ITGB1	ramilowski_known	ramilowski	L	R
CLCF1	CNTFR	ramilowski_known	ramilowski	L	R
CLCF1	CRLF1	ramilowski_known	ramilowski	L	LR
CLCF1	IL6ST	ramilowski_known	ramilowski	L	R
CLCF1	LIFR	ramilowski_known	ramilowski	L	R
CLEC11A	KIT	ramilowski_known	ramilowski	L	R
CNTF	CNTFR	ramilowski_known	ramilowski	L	R
CNTF	IL6ST	ramilowski_known	ramilowski	L	R
CNTF	LIFR	ramilowski_known	ramilowski	L	R
COL18A1	GPC1	ramilowski_known	ramilowski	L	R
COL18A1	ITGA5	ramilowski_known	ramilowski	L	R
COL18A1	ITGB1	ramilowski_known	ramilowski	L	R
COL1A1	DDR1	ramilowski_known	ramilowski	L	R
COL1A1	DDR2	ramilowski_known	ramilowski	L	R
COL1A1	ITGA11	ramilowski_known	ramilowski	L	R
COL1A1	ITGA2	ramilowski_known	ramilowski	L	R
COL1A1	ITGB1	ramilowski_known	ramilowski	L	R
COL2A1	ITGA10	ramilowski_known	ramilowski	L	R
COL2A1	ITGA2	ramilowski_known	ramilowski	L	R
COL2A1	ITGB1	ramilowski_known	ramilowski	L	R
COL4A1	ITGA1	ramilowski_known	ramilowski	L	R
COL4A1	ITGB1	ramilowski_known	ramilowski	L	R
COL4A1	ITGB8	ramilowski_known	ramilowski	L	R
COL5A3	SDC3	ramilowski_known	ramilowski	L	R
CORT	GHSR	ramilowski_known	ramilowski	L	R
CORT	MRGPRX2	ramilowski_known	ramilowski	L	R
CORT	SSTR1	ramilowski_known	ramilowski	L	R
CORT	SSTR2	ramilowski_known	ramilowski	L	R
CORT	SSTR3	ramilowski_known	ramilowski	L	R
CORT	SSTR4	ramilowski_known	ramilowski	L	R
CORT	SSTR5	ramilowski_known	ramilowski	L	R
CRH	CRHR1	ramilowski_known	ramilowski	L	R
CRH	CRHR2	ramilowski_known	ramilowski	L	R
CRH	MC2R	ramilowski_known	ramilowski	L	R
CSF1	CSF1R	ramilowski_known	ramilowski	L	R
CSF2	CSF1R	ramilowski_known	ramilowski	L	R
CSF2	CSF2RA	ramilowski_known	ramilowski	L	R
CSF2	CSF2RB	ramilowski_known	ramilowski	L	R
CSF2	CSF3R	ramilowski_known	ramilowski	L	R
CSF3	CSF1R	ramilowski_known	ramilowski	L	R
CSF3	CSF3R	ramilowski_known	ramilowski	L	R
CSH1	PRLR	ramilowski_known	ramilowski	L	R
CSH2	PRLR	ramilowski_known	ramilowski	L	R
CSHL1	PRLR	ramilowski_known	ramilowski	L	R
CTF1	IL6ST	ramilowski_known	ramilowski	L	R
CTF1	LIFR	ramilowski_known	ramilowski	L	R
CX3CL1	CX3CR1	ramilowski_known	ramilowski	L	R
CXCL10	CCR3	ramilowski_known	ramilowski	L	R
CXCL10	CXCR3	ramilowski_known	ramilowski	L	R
CXCL11	ACKR3	ramilowski_known	ramilowski	L	R
CXCL11	CCR3	ramilowski_known	ramilowski	L	R
CXCL11	CXCR3	ramilowski_known	ramilowski	L	R
CXCL12	ACKR3	ramilowski_known	ramilowski	L	R
CXCL12	CXCR3	ramilowski_known	ramilowski	L	R
CXCL12	CXCR4	ramilowski_known	ramilowski	L	R
CXCL13	CXCR5	ramilowski_known	ramilowski	L	R
CXCL16	CXCR6	ramilowski_known	ramilowski	L	R
CXCL1	CXCR1	ramilowski_known	ramilowski	L	R
CXCL1	CXCR2	ramilowski_known	ramilowski	L	R
CXCL2	CXCR1	ramilowski_known	ramilowski	L	R
CXCL2	CXCR2	ramilowski_known	ramilowski	L	R
CXCL2	XCR1	ramilowski_known	ramilowski	L	R
CXCL3	CXCR1	ramilowski_known	ramilowski	L	R
CXCL3	CXCR2	ramilowski_known	ramilowski	L	R
CXCL5	CXCR1	ramilowski_known	ramilowski	L	R
CXCL5	CXCR2	ramilowski_known	ramilowski	L	R
CXCL6	CXCR1	ramilowski_known	ramilowski	L	R
CXCL6	CXCR2	ramilowski_known	ramilowski	L	R
CXCL9	CCR3	ramilowski_known	ramilowski	L	R
CXCL9	CXCR3	ramilowski_known	ramilowski	L	R
DEFB4A	CCR6	ramilowski_known	ramilowski	L	R
DEFB4B	CCR6	ramilowski_known	ramilowski	L	R
DHH	HHIP	ramilowski_known	ramilowski	L	R
DHH	PTCH2	ramilowski_known	ramilowski	L	R
DKK1	KREMEN1	ramilowski_known	ramilowski	L	R
DKK1	KREMEN2	ramilowski_known	ramilowski	L	R
DKK1	LRP6	ramilowski_known	ramilowski	L	R
DKK2	LRP6	ramilowski_known	ramilowski	L	R
DLK1	NOTCH1	ramilowski_known	ramilowski	L	R
DLK1	NOTCH2	ramilowski_known	ramilowski	L	R
DLK1	NOTCH3	ramilowski_known	ramilowski	L	R
DLK1	NOTCH4	ramilowski_known	ramilowski	L	R
DLL1	NOTCH1	ramilowski_known	ramilowski	L	R
DLL1	NOTCH2	ramilowski_known	ramilowski	L	R
DLL1	NOTCH3	ramilowski_known	ramilowski	L	R
DLL1	NOTCH4	ramilowski_known	ramilowski	L	R
DLL3	NOTCH1	ramilowski_known	ramilowski	L	R
DLL3	NOTCH2	ramilowski_known	ramilowski	L	R
DLL3	NOTCH3	ramilowski_known	ramilowski	L	R
DLL3	NOTCH4	ramilowski_known	ramilowski	L	R
DLL4	NOTCH1	ramilowski_known	ramilowski	L	R
DLL4	NOTCH2	ramilowski_known	ramilowski	L	R
DLL4	NOTCH3	ramilowski_known	ramilowski	L	R
DLL4	NOTCH4	ramilowski_known	ramilowski	L	R
EDA	EDA2R	ramilowski_known	ramilowski	L	R
EDA	EDAR	ramilowski_known	ramilowski	L	R
EDN1	EDNRA	ramilowski_known	ramilowski	L	R
EDN2	EDNRA	ramilowski_known	ramilowski	L	R
EDN3	EDNRB	ramilowski_known	ramilowski	L	R
EFNA1	EPHA1	ramilowski_known	ramilowski	L	R
EFNA1	EPHA2	ramilowski_known	ramilowski	L	R
EFNA1	EPHA3	ramilowski_known	ramilowski	L	R
EFNA1	EPHA4	ramilowski_known	ramilowski	L	LR
EFNA1	EPHA5	ramilowski_known	ramilowski	L	R
EFNA1	EPHA6	ramilowski_known	ramilowski	L	R
EFNA1	EPHA7	ramilowski_known	ramilowski	L	R
EFNA1	EPHA8	ramilowski_known	ramilowski	L	R
EFNA2	EPHA1	ramilowski_known	ramilowski	L	R
EFNA2	EPHA2	ramilowski_known	ramilowski	L	R
EFNA2	EPHA3	ramilowski_known	ramilowski	L	R
EFNA2	EPHA4	ramilowski_known	ramilowski	L	LR
EFNA2	EPHA5	ramilowski_known	ramilowski	L	R
EFNA2	EPHA6	ramilowski_known	ramilowski	L	R
EFNA2	EPHA7	ramilowski_known	ramilowski	L	R
EFNA2	EPHA8	ramilowski_known	ramilowski	L	R
EFNA3	EPHA1	ramilowski_known	ramilowski	L	R
EFNA3	EPHA2	ramilowski_known	ramilowski	L	R
EFNA3	EPHA3	ramilowski_known	ramilowski	L	R
EFNA3	EPHA4	ramilowski_known	ramilowski	L	LR
EFNA3	EPHA5	ramilowski_known	ramilowski	L	R
EFNA3	EPHA6	ramilowski_known	ramilowski	L	R
EFNA3	EPHA7	ramilowski_known	ramilowski	L	R
EFNA3	EPHA8	ramilowski_known	ramilowski	L	R
EFNA3	EPHB1	ramilowski_known	ramilowski	L	R
EFNA4	EPHA1	ramilowski_known	ramilowski	L	R
EFNA4	EPHA2	ramilowski_known	ramilowski	L	R
EFNA4	EPHA3	ramilowski_known	ramilowski	L	R
EFNA4	EPHA4	ramilowski_known	ramilowski	L	LR
EFNA4	EPHA5	ramilowski_known	ramilowski	L	R
EFNA4	EPHA6	ramilowski_known	ramilowski	L	R
EFNA4	EPHA7	ramilowski_known	ramilowski	L	R
EFNA4	EPHA8	ramilowski_known	ramilowski	L	R
EFNA5	EPHA1	ramilowski_known	ramilowski	L	R
EFNA5	EPHA2	ramilowski_known	ramilowski	L	R
EFNA5	EPHA3	ramilowski_known	ramilowski	L	R
EFNA5	EPHA4	ramilowski_known	ramilowski	L	LR
EFNA5	EPHA5	ramilowski_known	ramilowski	L	R
EFNA5	EPHA6	ramilowski_known	ramilowski	L	R
EFNA5	EPHA7	ramilowski_known	ramilowski	L	R
EFNA5	EPHA8	ramilowski_known	ramilowski	L	R
EFNA5	EPHB2	ramilowski_known	ramilowski	L	R
EFNB1	EPHA4	ramilowski_known	ramilowski	LR	LR
EFNB1	EPHB1	ramilowski_known	ramilowski	LR	R
EFNB1	EPHB2	ramilowski_known	ramilowski	LR	R
EFNB1	EPHB3	ramilowski_known	ramilowski	LR	R
EFNB1	EPHB4	ramilowski_known	ramilowski	LR	R
EFNB1	EPHB6	ramilowski_known	ramilowski	LR	R
EFNB2	EPHA4	ramilowski_known	ramilowski	L	LR
EFNB2	EPHB1	ramilowski_known	ramilowski	L	R
EFNB2	EPHB2	ramilowski_known	ramilowski	L	R
EFNB2	EPHB3	ramilowski_known	ramilowski	L	R
EFNB2	EPHB4	ramilowski_known	ramilowski	L	R
EFNB2	EPHB6	ramilowski_known	ramilowski	L	R
EFNB3	EPHA4	ramilowski_known	ramilowski	L	LR
EFNB3	EPHB1	ramilowski_known	ramilowski	L	R
EFNB3	EPHB2	ramilowski_known	ramilowski	L	R
EFNB3	EPHB3	ramilowski_known	ramilowski	L	R
EFNB3	EPHB4	ramilowski_known	ramilowski	L	R
EFNB3	EPHB6	ramilowski_known	ramilowski	L	R
EGF	EGFR	ramilowski_known	ramilowski	L	R
EPGN	EGFR	ramilowski_known	ramilowski	L	R
EPO	EPOR	ramilowski_known	ramilowski	L	R
EREG	EGFR	ramilowski_known	ramilowski	L	R
EREG	ERBB4	ramilowski_known	ramilowski	L	R
F2	F2R	ramilowski_known	ramilowski	L	R
F2	F2RL1	ramilowski_known	ramilowski	L	R
F2	F2RL2	ramilowski_known	ramilowski	L	R
F2	F2RL3	ramilowski_known	ramilowski	L	R
F7	F3	ramilowski_known	ramilowski	L	R
F8	LRP1	ramilowski_known	ramilowski	L	R
F9	LRP1	ramilowski_known	ramilowski	L	R
FASLG	FAS	ramilowski_known	ramilowski	L	R
FASLG	TNFRSF6B	ramilowski_known	ramilowski	L	R
FGA	ITGAX	ramilowski_known	ramilowski	L	R
FGA	ITGB2	ramilowski_known	ramilowski	L	LR
FGF10	FGFR1	ramilowski_known	ramilowski	L	R
FGF10	FGFR2	ramilowski_known	ramilowski	L	R
FGF10	FGFR3	ramilowski_known	ramilowski	L	R
FGF10	FGFR4	ramilowski_known	ramilowski	L	R
FGF11	FGFR1	ramilowski_known	ramilowski	L	R
FGF11	FGFR2	ramilowski_known	ramilowski	L	R
FGF11	FGFR3	ramilowski_known	ramilowski	L	R
FGF11	FGFR4	ramilowski_known	ramilowski	L	R
FGF12	FGFR1	ramilowski_known	ramilowski	L	R
FGF12	FGFR2	ramilowski_known	ramilowski	L	R
FGF12	FGFR3	ramilowski_known	ramilowski	L	R
FGF12	FGFR4	ramilowski_known	ramilowski	L	R
FGF13	FGFR1	ramilowski_known	ramilowski	L	R
FGF13	FGFR2	ramilowski_known	ramilowski	L	R
FGF13	FGFR3	ramilowski_known	ramilowski	L	R
FGF13	FGFR4	ramilowski_known	ramilowski	L	R
FGF14	FGFR1	ramilowski_known	ramilowski	L	R
FGF14	FGFR2	ramilowski_known	ramilowski	L	R
FGF14	FGFR3	ramilowski_known	ramilowski	L	R
FGF14	FGFR4	ramilowski_known	ramilowski	L	R
FGF16	FGFR1	ramilowski_known	ramilowski	L	R
FGF16	FGFR2	ramilowski_known	ramilowski	L	R
FGF16	FGFR3	ramilowski_known	ramilowski	L	R
FGF16	FGFR4	ramilowski_known	ramilowski	L	R
FGF17	FGFR1	ramilowski_known	ramilowski	L	R
FGF17	FGFR2	ramilowski_known	ramilowski	L	R
FGF17	FGFR3	ramilowski_known	ramilowski	L	R
FGF17	FGFR4	ramilowski_known	ramilowski	L	R
FGF18	FGFR1	ramilowski_known	ramilowski	L	R
FGF18	FGFR2	ramilowski_known	ramilowski	L	R
FGF18	FGFR3	ramilowski_known	ramilowski	L	R
FGF18	FGFR4	ramilowski_known	ramilowski	L	R
FGF19	FGFR1	ramilowski_known	ramilowski	L	R
FGF19	FGFR2	ramilowski_known	ramilowski	L	R
FGF19	FGFR3	ramilowski_known	ramilowski	L	R
FGF19	FGFR4	ramilowski_known	ramilowski	L	R
FGF1	FGFR1	ramilowski_known	ramilowski	L	R
FGF1	FGFR2	ramilowski_known	ramilowski	L	R
FGF1	FGFR3	ramilowski_known	ramilowski	L	R
FGF1	FGFR4	ramilowski_known	ramilowski	L	R
FGF22	FGFR2	ramilowski_known	ramilowski	L	R
FGF23	FGFR1	ramilowski_known	ramilowski	L	R
FGF23	FGFR2	ramilowski_known	ramilowski	L	R
FGF23	FGFR4	ramilowski_known	ramilowski	L	R
FGF2	FGFR1	ramilowski_known	ramilowski	L	R
FGF2	FGFR2	ramilowski_known	ramilowski	L	R
FGF2	FGFR3	ramilowski_known	ramilowski	L	R
FGF2	FGFR4	ramilowski_known	ramilowski	L	R
FGF2	SDC2	ramilowski_known	ramilowski	L	LR
FGF2	SDC4	ramilowski_known	ramilowski	L	R
FGF3	FGFR1	ramilowski_known	ramilowski	L	R
FGF3	FGFR2	ramilowski_known	ramilowski	L	R
FGF4	FGFR1	ramilowski_known	ramilowski	L	R
FGF4	FGFR2	ramilowski_known	ramilowski	L	R
FGF4	FGFR3	ramilowski_known	ramilowski	L	R
FGF4	FGFR4	ramilowski_known	ramilowski	L	R
FGF5	FGFR1	ramilowski_known	ramilowski	L	R
FGF5	FGFR2	ramilowski_known	ramilowski	L	R
FGF5	FGFR3	ramilowski_known	ramilowski	L	R
FGF5	FGFR4	ramilowski_known	ramilowski	L	R
FGF6	FGFR1	ramilowski_known	ramilowski	L	R
FGF6	FGFR2	ramilowski_known	ramilowski	L	R
FGF6	FGFR4	ramilowski_known	ramilowski	L	R
FGF7	FGFR2	ramilowski_known	ramilowski	L	R
FGF8	FGFR1	ramilowski_known	ramilowski	L	R
FGF8	FGFR2	ramilowski_known	ramilowski	L	R
FGF8	FGFR3	ramilowski_known	ramilowski	L	R
FGF8	FGFR4	ramilowski_known	ramilowski	L	R
FGF9	FGFR1	ramilowski_known	ramilowski	L	R
FGF9	FGFR2	ramilowski_known	ramilowski	L	R
FGF9	FGFR3	ramilowski_known	ramilowski	L	R
FGF9	FGFR4	ramilowski_known	ramilowski	L	R
FLT3LG	FLT3	ramilowski_known	ramilowski	L	R
FN1	ITGA2	ramilowski_known	ramilowski	L	R
FN1	ITGA2B	ramilowski_known	ramilowski	L	R
FN1	ITGA4	ramilowski_known	ramilowski	L	R
FN1	ITGA5	ramilowski_known	ramilowski	L	R
FN1	ITGA8	ramilowski_known	ramilowski	L	R
FN1	ITGB1	ramilowski_known	ramilowski	L	R
FN1	ITGB3	ramilowski_known	ramilowski	L	R
FN1	ITGB6	ramilowski_known	ramilowski	L	R
FN1	ITGB8	ramilowski_known	ramilowski	L	R
FN1	SDC2	ramilowski_known	ramilowski	L	LR
FSHB	FSHR	ramilowski_known	ramilowski	L	R
GAD1	GRM4	ramilowski_known	ramilowski	L	R
GALP	GALR1	ramilowski_known	ramilowski	L	R
GALP	GALR2	ramilowski_known	ramilowski	L	R
GALP	GALR3	ramilowski_known	ramilowski	L	R
GAL	GALR1	ramilowski_known	ramilowski	L	R
GAL	GALR2	ramilowski_known	ramilowski	L	R
GAL	GALR3	ramilowski_known	ramilowski	L	R
GAS6	AXL	ramilowski_known	ramilowski	L	R
GAS6	MERTK	ramilowski_known	ramilowski	L	R
GAS6	TYRO3	ramilowski_known	ramilowski	L	R
GAST	CCKBR	ramilowski_known	ramilowski	L	R
GCG	GCGR	ramilowski_known	ramilowski	L	R
GCG	GLP1R	ramilowski_known	ramilowski	L	R
GCG	GLP2R	ramilowski_known	ramilowski	L	R
GDF11	ACVR1B	ramilowski_known	ramilowski	L	R
GDF11	ACVR2A	ramilowski_known	ramilowski	L	R
GDF11	ACVR2B	ramilowski_known	ramilowski	L	R
GDF2	ACVRL1	ramilowski_known	ramilowski	L	R
GDF5	BMPR1B	ramilowski_known	ramilowski	L	R
GDF5	BMPR2	ramilowski_known	ramilowski	L	R
GDF5	ROR2	ramilowski_known	ramilowski	L	R
GDF6	BMPR1A	ramilowski_known	ramilowski	L	R
GDF6	BMPR2	ramilowski_known	ramilowski	L	R
GDF7	ACVR2A	ramilowski_known	ramilowski	L	R
GDF7	BMPR1A	ramilowski_known	ramilowski	L	R
GDF7	BMPR2	ramilowski_known	ramilowski	L	R
GDF9	BMPR2	ramilowski_known	ramilowski	L	R
GDF9	TGFBR1	ramilowski_known	ramilowski	L	R
GDNF	GFRA1	ramilowski_known	ramilowski	L	R
GDNF	GFRA2	ramilowski_known	ramilowski	L	R
GDNF	RET	ramilowski_known	ramilowski	L	R
GH1	GHR	ramilowski_known	ramilowski	L	R
GH2	GHR	ramilowski_known	ramilowski	L	R
GHRH	GHRHR	ramilowski_known	ramilowski	L	R
GHRH	VIPR1	ramilowski_known	ramilowski	L	R
GHRL	GHSR	ramilowski_known	ramilowski	L	R
GHRL	GPR39	ramilowski_known	ramilowski	L	R
GIP	GIPR	ramilowski_known	ramilowski	L	R
GNRH1	GNRHR	ramilowski_known	ramilowski	L	R
GNRH2	GNRHR	ramilowski_known	ramilowski	L	R
GPHA2	TSHR	ramilowski_known	ramilowski	L	R
GPI	AMFR	ramilowski_known	ramilowski	L	R
GRP	GRPR	ramilowski_known	ramilowski	L	R
GSTP1	TRAF2	ramilowski_known	ramilowski	L	R
GUCA2A	GUCY2C	ramilowski_known	ramilowski	L	R
GUCA2B	GUCY2C	ramilowski_known	ramilowski	L	R
GZMB	IGF2R	ramilowski_known	ramilowski	L	R
HAS2	CD44	ramilowski_known	ramilowski	L	LR
HAS2	HMMR	ramilowski_known	ramilowski	L	R
HBEGF	EGFR	ramilowski_known	ramilowski	L	R
HBEGF	ERBB4	ramilowski_known	ramilowski	L	R
HCRT	HCRTR1	ramilowski_known	ramilowski	L	R
HCRT	HCRTR2	ramilowski_known	ramilowski	L	R
HDC	HRH1	ramilowski_known	ramilowski	L	R
HDC	HRH2	ramilowski_known	ramilowski	L	R
HDC	HRH3	ramilowski_known	ramilowski	L	R
HDC	HRH4	ramilowski_known	ramilowski	L	R
HEBP1	FPR3	ramilowski_known	ramilowski	L	R
HGF	MET	ramilowski_known	ramilowski	L	R
HLA-A	KIR3DL2	ramilowski_known	ramilowski	L	R
HLA-B	KIR3DL1	ramilowski_known	ramilowski	L	R
HLA-C	KIR2DL1	ramilowski_known	ramilowski	L	R
HLA-C	KIR2DL3	ramilowski_known	ramilowski	L	R
HLA-C	KIR2DS4	ramilowski_known	ramilowski	L	R
HLA-E	KLRC1	ramilowski_known	ramilowski	L	R
HLA-E	KLRC2	ramilowski_known	ramilowski	L	R
HLA-E	KLRD1	ramilowski_known	ramilowski	L	R
HLA-G	KIR2DL4	ramilowski_known	ramilowski	L	R
HLA-G	KLRC1	ramilowski_known	ramilowski	L	R
HLA-G	KLRD1	ramilowski_known	ramilowski	L	R
