Genes	NATMI	CelltalkDB	Merge_Index
EPCAM	LR	NA	LR
EPGN	L	L	L
EPHA4	LR	R	LR
EPO	L	L	L
EREG	L	L	L
F10	L	L	L
F11	L	L	L
F11R	LR	R	LR
F12	L	L	L
F13A1	L	L	L
F2	L	L	L
F7	L	L	L
F8	L	L	L
F9	L	L	L
FAM3C	L	L	L
FAM3D	L	NA	L
FASLG	L	L	L
FAT4	L	L	L
FBLN1	L	L	L
FBN1	L	L	L
FCER2	L	NA	L
FCN2	L	L	L
FGA	L	L	L
FGB	L	L	L
FGF1	L	L	L
FGF10	L	L	L
FGF13	L	L	L
FGF16	L	L	L
FGF17	L	L	L
FGF18	L	L	L
FGF19	L	L	L
FGF2	L	L	L
FGF20	L	L	L
FGF21	L	L	L
FGF22	L	L	L
FGF23	L	L	L
FGF3	L	L	L
FGF4	L	L	L
FGF5	L	L	L
FGF6	L	L	L
FGF7	L	L	L
FGF8	L	L	L
FGF9	L	L	L
FGG	L	L	L
FGL1	L	L	L
FLT3LG	L	L	L
FN1	L	L	L
FNDC5	L	NA	L
FSHB	L	L	L
FSTL1	L	NA	L
FZD8	LR	R	LR
GAL	L	L	L
GALP	L	L	L
GAS6	L	L	L
GAST	L	L	L
GCG	L	L	L
GDF1	L	L	L
GDF11	L	L	L
GDF15	L	L	L
GDF2	L	L	L
GDF3	L	NA	L
GDF5	L	L	L
GDF6	L	L	L
GDF7	L	L	L
GDF9	L	L	L
GDNF	L	L	L
GH1	L	L	L
GH2	L	L	L
GHRH	L	L	L
GHRL	L	L	L
GIP	L	L	L
GLG1	L	NA	L
GNAI2	L	L	L
GNAS	L	L	L
GNRH1	L	L	L
GNRH2	L	L	L
GPC3	L	L	L
GPHA2	L	L	L
GPHB5	L	NA	L
GPI	L	L	L
GREM1	L	L	L
GRN	L	L	L
GRP	L	L	L
GUCA2A	L	L	L
GUCA2B	L	L	L
GZMB	L	L	L
HAS2	L	L	L
HAVCR1	LR	NA	LR
HBEGF	L	L	L
HCRT	L	L	L
HEBP1	L	L	L
HGF	L	L	L
HHLA2	L	NA	L
HLA-A	L	L	L
HLA-B	L	L	L
HLA-C	L	L	L
HLA-E	L	L	L
HLA-F	LR	R	LR
HLA-G	L	L	L
HMGB1	L	L	L
HP	L	L	L
HRAS	L	L	L
HRG	L	L	L
HSP90AA1	L	L	L
HSPG2	L	L	L
IAPP	L	L	L
ICAM1	L	L	L
ICAM2	L	L	L
ICAM3	LR	L	LR
ICAM4	L	L	L
ICAM5	L	L	L
ICOSLG	LR	L	LR
ICOS	LR	R	LR
IFNA1	L	L	L
IFNA10	L	L	L
IFNA13	L	L	L
IFNA14	L	L	L
IFNA16	L	L	L
IFNA17	L	L	L
IFNA2	L	L	L
IFNA21	L	L	L
IFNA4	L	L	L
IFNA5	L	L	L
IFNA6	L	L	L
IFNA7	L	L	L
IFNA8	L	L	L
IFNB1	L	L	L
IFNE	L	L	L
IFNG	L	L	L
IFNK	L	NA	L
IFNL1	L	L	L
IFNL2	L	L	L
IFNL3	L	L	L
IFNL4	L	NA	L
IFNW1	L	L	L
IGF1	L	L	L
IGF2	L	L	L
IGFBP4	L	L	L
IGFL1	L	L	L
IGFL2	L	L	L
IGFL3	L	L	L
IGSF11	L	NA	L
IHH	L	L	L
IL10	L	L	L
IL11	L	L	L
IL12A	L	L	L
IL12B	L	L	L
IL13	L	L	L
IL15	L	L	L
IL16	L	L	L
IL17A	L	L	L
IL17B	L	L	L
IL17C	L	L	L
IL17F	L	L	L
IL18	L	L	L
IL19	L	L	L
IL1A	L	L	L
IL1B	L	L	L
IL1F10	L	L	L
IL1RAPL1	LR	R	LR
IL1RN	L	L	L
IL2	L	L	L
IL20	L	L	L
IL21	L	L	L
IL22	L	L	L
IL23A	L	L	L
IL24	L	L	L
IL25	L	L	L
IL26	L	L	L
IL27	L	L	L
IL3	L	L	L
IL31	L	L	L
IL32	L	NA	L
IL33	L	L	L
IL34	L	L	L
IL36A	L	L	L
IL36RN	L	R	LR
IL4	L	L	L
IL5	L	L	L
IL6	L	L	L
IL7	L	L	L
IL9	L	L	L
INHA	L	L	L
INHBA	L	L	L
INHBB	L	L	L
INHBC	L	L	L
INS	L	L	L
INSL3	L	L	L
INSL5	L	L	L
ITGAV	LR	R	LR
ITGB2	LR	R	LR
JAG1	L	L	L
JAG2	L	L	L
JAM2	LR	NA	LR
JAM3	LR	L	LR
JAML	LR	NA	LR
KIR3DS1	L	NA	L
KISS1	L	L	L
KITLG	L	L	L
KLRB1	LR	R	LR
KLRF1	LR	R	LR
KMT2E	L	NA	L
KNG1	L	L	L
L1CAM	LR	L	LR
LACRT	L	L	L
LAMA1	L	L	L
LAMA2	L	L	L
LAMA3	L	L	L
LAMA5	L	L	L
LAMB1	L	L	L
LAMB2	L	L	L
LAMC2	L	L	L
LCN1	L	L	L
LCN2	L	L	L
LEAP2	L	NA	L
LEFTY2	L	L	L
LEP	L	L	L
LGALS1	L	L	L
LGALS3	L	NA	L
LGALS3BP	L	L	L
LGALS9	L	L	L
LGI1	L	NA	L
LGI2	L	NA	L
LGI3	L	NA	L
LGI4	L	NA	L
LHB	L	L	L
LIF	L	L	L
LILRB4	L	NA	L
LIN7C	L	L	L
LIPC	L	L	L
LIPH	L	L	L
LPA	L	L	L
LPL	L	L	L
LRFN3	LR	NA	LR
LRFN5	LR	NA	LR
LRPAP1	L	L	L
LRRC4B	L	NA	L
LTA	L	L	L
LTB	L	L	L
LTBP1	L	L	L
LTBP3	L	L	L
LTF	L	L	L
LY86	L	NA	L
LY9	LR	NA	LR
MADCAM1	L	L	L
MATN1	L	L	L
MBL2	L	L	L
MCAM	LR	R	LR
MDK	L	L	L
MELTF	L	L	L
MEPE	L	L	L
MFGE8	L	L	L
MFNG	L	L	L
MIA	L	L	L
MICA	L	L	L
MICB	L	L	L
MIF	L	L	L
MLN	L	L	L
MMP1	L	L	L
MMP12	L	L	L
MMP13	L	L	L
MMP2	L	L	L
MMP7	L	L	L
MMP9	L	L	L
MMRN2	L	NA	L
MRC1	LR	NA	LR
MSMP	L	NA	L
MST1	L	L	L
MSTN	L	L	L
MUC1	L	R	LR
MUC2	L	NA	L
MUC7	L	L	L
MYL9	L	NA	L
MYOC	L	NA	L
NAMPT	L	L	L
NCAM1	LR	L	LR
NCR3LG1	L	L	L
NDP	L	L	L
NECTIN1	LR	R	LR
NECTIN2	LR	R	LR
NECTIN3	LR	R	LR
NECTIN4	LR	R	LR
NELL2	L	NA	L
NGF	L	L	L
NID1	L	L	L
NID2	L	L	L
NLGN1	L	L	L
NLGN2	L	L	L
NLGN3	L	L	L
NLGN4X	L	NA	L
NMB	L	L	L
NMS	L	L	L
NMU	L	L	L
NODAL	L	L	L
NPB	L	L	L
NPFF	L	L	L
NPNT	L	L	L
NPPA	L	L	L
NPPB	L	L	L
NPPC	L	L	L
NPS	L	L	L
NPVF	L	L	L
NPW	L	L	L
NPY	L	L	L
NRG1	L	L	L
NRG2	L	L	L
NRG3	L	L	L
NRG4	L	L	L
NRTN	L	L	L
NTF3	L	L	L
NTF4	L	L	L
NTN1	L	L	L
NTN3	L	L	L
NTN4	L	L	L
NTNG1	L	L	L
NTNG2	L	L	L
NTRK3	LR	R	LR
NTS	L	L	L
NXPH1	L	L	L
NXPH2	L	L	L
NXPH3	L	L	L
OMG	L	L	L
ORM1	L	L	L
OSM	L	L	L
OSTN	L	L	L
OXT	L	L	L
PCNA	L	NA	L
PCSK9	L	L	L
PDCD1LG2	L	L	L
PDGFA	L	L	L
PDGFB	L	L	L
PDGFC	L	L	L
PDGFD	L	L	L
PDPN	L	NA	L
PDYN	L	L	L
PECAM1	LR	R	LR
PENK	L	L	L
PF4	L	L	L
PF4V1	L	NA	L
PGF	L	L	L
PGLYRP1	L	R	LR
PIP	L	L	L
PLA2G10	L	L	L
PLA2G2A	L	NA	L
PLAT	L	L	L
PLAU	L	L	L
PLG	LR	L	LR
PLTP	L	L	L
PMCH	L	L	L
PNOC	L	L	L
PODXL	L	L	L
PODXL2	L	L	L
POMC	L	L	L
POSTN	L	NA	L
PPBP	L	L	L
PPY	L	L	L
PRG4	L	L	L
PRL	L	L	L
PRLH	L	L	L
PRND	L	L	L
PROC	L	L	L
PROK1	L	L	L
PROK2	L	L	L
PROS1	L	L	L
PSAP	L	L	L
PSEN1	L	L	L
PSPN	L	L	L
PTDSS1	L	NA	L
PTGS2	L	L	L
PTH	L	L	L
PTH2	L	L	L
PTHLH	L	L	L
PTMA	L	L	L
PTN	L	L	L
PTPRC	LR	R	LR
PTPRK	LR	R	LR
PTPRM	LR	R	LR
PTPRZ1	LR	R	LR
PVR	LR	R	LR
PYY	L	L	L
QRFP	L	L	L
RAET1E	L	L	L
RAET1G	L	L	L
RAET1L	L	L	L
RARRES2	L	L	L
RBP3	L	L	L
RBP4	L	L	L
RELN	L	L	L
REN	L	L	L
RGMA	L	L	L
RGMB	LR	L	LR
RLN1	L	L	L
RLN2	L	L	L
RLN3	L	L	L
RNASE2	L	L	L
ROBO1	LR	R	LR
ROBO2	LR	R	LR
RPH3A	L	L	L
RPS19	L	NA	L
RSPO1	L	L	L
RSPO2	L	L	L
RSPO3	L	L	L
RSPO4	L	L	L
RTN4	L	L	L
S100A8	L	L	L
S100A9	L	L	L
SAA1	L	L	L
SCGB1A1	L	L	L
SCGB3A1	L	L	L
SCGB3A2	L	L	L
SCT	L	L	L
SDC2	LR	R	LR
SECTM1	L	NA	L
SELE	LR	R	LR
SELPLG	L	L	L
SEMA3A	L	L	L
SEMA3B	L	L	L
SEMA3C	L	L	L
SEMA3D	L	L	L
SEMA3E	L	L	L
SEMA3F	L	L	L
SEMA3G	L	L	L
SEMA4A	L	L	L
SEMA4B	L	L	L
SEMA4C	L	L	L
SEMA4D	L	L	L
SEMA4G	L	L	L
SEMA5A	L	L	L
SEMA6A	L	L	L
SEMA6B	L	NA	L
SEMA6D	L	L	L
SEMA7A	L	L	L
SERPINA1	L	L	L
SERPINC1	L	L	L
SERPINE1	L	L	L
SERPINE2	L	L	L
SERPINF1	L	NA	L
SERPING1	L	L	L
SERTAD1	L	NA	L
SFRP1	L	L	L
SFRP2	L	L	L
SFTPA1	L	L	L
SFTPA2	L	L	L
SFTPD	L	L	L
SHANK1	L	L	L
SHH	L	L	L
SIGLEC1	LR	NA	LR
SIRPA	LR	R	LR
SIRPB2	L	NA	L
SIRPG	LR	NA	LR
SLAMF1	LR	NA	LR
SLAMF6	LR	NA	LR
SLAMF7	LR	NA	LR
SLIT1	L	L	L
SLIT2	L	L	L
SLIT3	L	L	L
SLITRK1	L	NA	L
SLITRK2	L	NA	L
SLITRK3	L	NA	L
SLITRK5	L	NA	L
SLITRK6	L	NA	L
SLPI	L	L	L
SLURP1	L	L	L
SNCA	L	NA	L
SOST	L	L	L
SOSTDC1	L	L	L
SPINK1	L	L	L
SPN	LR	R	LR
SPON1	L	NA	L
SPON2	L	L	L
SPP1	L	L	L
SPX	L	L	L
SST	L	L	L
ST6GAL1	L	L	L
TAC1	L	L	L
TAC3	L	L	L
TAC4	L	L	L
TAFA4	L	NA	L
TCN1	L	NA	L
TCTN1	L	L	L
TDGF1	LR	L	LR
TF	L	L	L
TFF2	L	L	L
TFF3	L	NA	L
TFPI	L	L	L
TG	L	L	L
TGFA	L	L	L
TGFB1	L	L	L
TGFB2	L	L	L
TGFB3	L	L	L
TGM2	L	L	L
THBS1	L	L	L
THBS2	L	L	L
THPO	L	L	L
TIGIT	LR	NA	LR
TIMD4	L	NA	L
TIMP1	L	L	L
TIMP2	L	L	L
TIMP3	L	L	L
TNC	L	L	L
TNF	L	L	L
TNFRSF14	LR	R	LR
TNFSF10	L	L	L
TNFSF11	L	L	L
TNFSF12	L	L	L
TNFSF13	L	L	L
TNFSF13B	L	L	L
TNFSF14	L	L	L
TNFSF15	L	L	L
TNFSF18	L	L	L
TNFSF4	L	L	L
TNFSF8	L	L	L
TNFSF9	L	L	L
TOR2A	L	NA	L
TRH	L	L	L
TSHB	L	L	L
TSLP	L	L	L
UCN	L	L	L
UCN2	L	L	L
UCN3	L	L	L
ULBP1	L	L	L
ULBP2	L	L	L
ULBP3	L	L	L
UTS2	L	L	L
UTS2B	L	L	L
VASP	L	L	L
VCAM1	L	L	L
VCAN	L	L	L
VEGFA	L	L	L
VEGFB	L	L	L
VEGFC	L	L	L
VEGFD	L	L	L
VIM	L	L	L
VIP	L	L	L
VTN	L	L	L
VWF	L	L	L
WNT1	L	L	L
WNT10A	L	NA	L
WNT10B	L	NA	L
WNT11	L	L	L
WNT16	L	L	L
WNT2	L	L	L
WNT2B	L	L	L
WNT3	L	L	L
WNT3A	L	L	L
WNT4	L	L	L
WNT5A	L	L	L
WNT5B	L	L	L
WNT6	L	L	L
WNT7A	L	L	L
WNT7B	L	L	L
WNT8A	L	L	L
WNT9A	L	NA	L
WNT9B	L	L	L
XCL1	L	L	L
XCL2	L	L	L
YBX1	L	NA	L
ZG16B	L	L	L
ZP3	L	L	L
LRP1	R	R	R
MTNR1A	R	R	R
MTNR1B	R	R	R
BDKRB2	R	R	R
EPHA3	R	R	R
ITGA4	R	R	R
ITGA9	R	R	R
ITGB1	R	R	R
SDC4	R	R	R
ITGA5	R	R	R
ITGB3	R	R	R
NOTCH1	R	R	R
ITGA6	R	R	R
ITGB7	R	R	R
ITGA3	R	R	R
ITGB5	R	R	R
ADCYAP1R1	R	R	R
SCTR	R	R	R
VIPR1	R	R	R
