Genes	NATMI	CelltalkDB	Merge_Index
KLRC2	R	R	R
KLRK1	R	R	R
KIR2DL4	R	R	R
CD163	R	R	R
FCGR1A	R	R	R
CFTR	R	R	R
IL2RA	R	R	R
ITGAL	R	R	R
CLEC4M	R	R	R
ITGAD	R	R	R
IFNAR1	R	R	R
IFNAR2	R	R	R
IFNGR1	R	R	R
IFNGR2	R	R	R
IFNLR1	R	R	R
IL10RB	R	R	R
IGFLR1	R	R	R
VSIR	R	R	R
IL10RA	R	R	R
IL11RA	R	R	R
IL12RB1	R	R	R
IL12RB2	R	R	R
IL23R	R	R	R
IL13RA1	R	R	R
IL13RA2	R	R	R
IL2RG	R	R	R
IL4R	R	R	R
IL15RA	R	R	R
IL2RB	R	R	R
GRIN2D	R	R	R
KCNJ10	R	R	R
KCNJ15	R	R	R
IL17RA	R	R	R
IL17RC	R	R	R
IL17RB	R	R	R
IL17RE	R	R	R
IL18R1	R	R	R
IL18RAP	R	R	R
IL20RA	R	R	R
IL20RB	R	R	R
IL1R1	R	R	R
IL1R2	R	R	R
IL1RAP	R	R	R
PTPRD	R	NA	R
PTPRF	R	R	R
CD53	R	R	R
IL22RA1	R	R	R
IL21R	R	R	R
IL22RA2	R	R	R
IL31RA	R	R	R
OSMR	R	R	R
IL1RL1	R	R	R
IL1RL2	R	R	R
IL5RA	R	R	R
IL7R	R	R	R
IL9R	R	R	R
TGFBR3	R	R	R
ACVR1C	R	R	R
BAMBI	R	R	R
CFC1B	R	NA	R
RXFP2	R	R	R
RXFP3	R	R	R
RXFP4	R	R	R
THY1	R	R	R
KISS1R	R	R	R
MMP24	R	R	R
KIT	R	R	R
NCR2	R	NA	R
BDKRB1	R	R	R
GPR135	R	NA	R
ITGA7	R	R	R
RPSA	R	R	R
BCAM	R	R	R
LMBR1L	R	R	R
CD69	R	R	R
ADAM22	R	NA	R
FLOT1	R	NA	R
STX1A	R	NA	R
LAIR1	R	NA	R
HTR2C	R	R	R
LPAR1	R	R	R
LPAR2	R	R	R
LPAR4	R	R	R
GPIHBP1	R	R	R
LTBR	R	R	R
LRP11	R	NA	R
CD180	R	NA	R
TSPAN1	R	R	R
PHEX	R	R	R
PDGFRB	R	R	R
CDH7	R	R	R
CD151	R	R	R
CD248	R	NA	R
CLEC14A	R	NA	R
MST1R	R	R	R
SIGLEC9	R	NA	R
AGR2	R	R	R
FZD1	R	R	R
FZD10	R	R	R
FZD4	R	R	R
FZD7	R	R	R
ROBO3	R	NA	R
LGR4	R	R	R
PVRIG	R	NA	R
SORCS3	R	R	R
NRXN1	R	R	R
NRXN2	R	R	R
NRXN3	R	R	R
NMUR1	R	R	R
NMUR2	R	R	R
NPBWR1	R	R	R
NPBWR2	R	R	R
NPFFR1	R	R	R
NPR1	R	R	R
NPR2	R	R	R
NPR3	R	R	R
NPSR1	R	R	R
FAP	R	R	R
NPY1R	R	R	R
NPY2R	R	R	R
NPY4R	R	R	R
NPY5R	R	R	R
PRLHR	R	R	R
BEX3	R	R	R
ADORA2B	R	R	R
DCC	R	R	R
NEO1	R	R	R
UNC5A	R	R	R
UNC5B	R	R	R
UNC5C	R	R	R
UNC5D	R	R	R
LRRC4C	R	R	R
LRRC4	R	R	R
NTSR1	R	R	R
NTSR2	R	R	R
LINGO1	R	R	R
PDGFRA	R	R	R
ART1	R	R	R
CLEC1B	R	NA	R
OPRK1	R	R	R
MRGPRX1	R	R	R
OGFR	R	R	R
PROCR	R	R	R
FLT1	R	R	R
NRP2	R	R	R
PLA2R1	R	R	R
PLGRKT	R	R	R
ABCA1	R	R	R
MCHR1	R	R	R
MCHR2	R	R	R
OPRL1	R	R	R
PTK7	R	R	R
PROKR1	R	R	R
PROKR2	R	R	R
GPR37	R	R	R
GPR37L1	R	R	R
GFRA4	R	R	R
JMJD6	R	NA	R
PTGDR2	R	R	R
PTH1R	R	R	R
PTH2R	R	R	R
PTPRB	R	R	R
P2RY14	R	NA	R
QRFPR	R	R	R
CMKLR1	R	R	R
GPR1	R	R	R
STRA6	R	R	R
ATP6AP2	R	R	R
RXFP1	R	R	R
LGR5	R	R	R
LGR6	R	R	R
ZNRF3	R	R	R
RNF43	R	NA	R
CNTNAP1	R	R	R
S1PR2	R	NA	R
TNFRSF19	R	R	R
MARCO	R	R	R
PTPRJ	R	NA	R
CD7	R	NA	R
SIGLEC5	R	NA	R
PLXNA1	R	R	R
PLXNA2	R	R	R
PLXNA4	R	R	R
PLXND1	R	R	R
PLXNA3	R	R	R
PLXNB1	R	R	R
DCBLD2	R	R	R
CD72	R	R	R
PLXNB3	R	R	R
TREM2	R	R	R
TYROBP	R	R	R
PLXNC1	R	R	R
PLXDC1	R	NA	R
PLXDC2	R	NA	R
AR	R	R	R
FZD2	R	R	R
ADGRL1	R	R	R
GAS1	R	R	R
GPC5	R	R	R
SMO	R	R	R
PLSCR1	R	NA	R
PLSCR4	R	R	R
CHRNA7	R	R	R
TACR1	R	R	R
TACR2	R	R	R
TACR3	R	R	R
CD320	R	NA	R
TMEM67	R	R	R
TFR2	R	R	R
TFRC	R	R	R
ASGR1	R	R	R
VASN	R	NA	R
ADGRG1	R	R	R
MPL	R	R	R
TNFRSF10B	R	R	R
TNFRSF10C	R	R	R
TNFRSF10D	R	R	R
TNFRSF11A	R	R	R
TNFRSF12A	R	R	R
TNFRSF13B	R	R	R
TNFRSF17	R	R	R
TNFRSF13C	R	R	R
TNFRSF25	R	R	R
TNFRSF18	R	R	R
TNFRSF4	R	R	R
TNFRSF8	R	R	R
TNFRSF9	R	R	R
ATP5F1B	R	NA	R
TRHR	R	R	R
CRLF2	R	NA	R
UTS2R	R	R	R
FLT4	R	R	R
FZD9	R	R	R
RYK	R	R	R
APCDD1	R	R	R
ROR1	R	R	R
TLR5	R	R	R
TLR6	R	R	R
VCL	NA	L	L
TCN2	NA	L	L
PCSK1N	NA	L	L
RETN	NA	L	L
PON2	NA	L	L
PDAP1	NA	L	L
IBSP	NA	L	L
APOC3	NA	L	L
GNB3	NA	L	L
APOA1	NA	L	L
GSTM2	NA	L	L
PI3	NA	L	L
LYPD3	NA	L	L
TPH1	NA	L	L
LMAN1	NA	L	L
APOC2	NA	L	L
NCAN	NA	L	L
FST	NA	L	L
LAMC1	NA	L	L
IL36G	NA	L	L
IL36B	NA	L	L
TGS1	NA	L	L
LYZ	NA	L	L
RIMS2	NA	L	L
IL37	NA	L	L
CNTN3	NA	L	L
CKLF	NA	L	L
FARP2	NA	L	L
OLFM2	NA	L	L
BST1	NA	L	L
NPTX2	NA	L	L
INHBE	NA	L	L
LUM	NA	L	L
HDC	NA	L	L
LEFTY1	NA	L	L
CALM2	NA	L	L
LRIG1	NA	L	L
MEGF10	NA	L	L
QDPR	NA	L	L
PIGF	NA	L	L
WIF1	NA	L	L
ADAMTS3	NA	L	L
CALM3	NA	L	L
TFF1	NA	L	L
S100B	NA	L	L
S100A1	NA	L	L
FGF11	NA	L	L
DRAXIN	NA	L	L
ARPC5	NA	L	L
COL6A3	NA	L	L
FABP5	NA	L	L
ARF6	NA	L	L
HSP90B1	NA	L	L
COL6A2	NA	L	L
ANGPTL4	NA	L	L
FADD	NA	L	L
HSPA4	NA	L	L
BMP1	NA	L	L
NPTX1	NA	L	L
CSHL1	NA	L	L
EFEMP2	NA	L	L
TLN1	NA	L	L
AGTRAP	NA	L	L
PKM	NA	L	L
MTMR4	NA	L	L
IZUMO1	NA	L	L
P4HB	NA	L	L
SERPINA7	NA	L	L
BCAN	NA	L	L
COL7A1	NA	L	L
DMP1	NA	L	L
FYN	NA	L	L
CALM1	NA	L	L
APOA4	NA	L	L
SEMA4F	NA	L	L
GAD1	NA	L	L
ITIH2	NA	L	L
LAMC3	NA	L	L
COL6A1	NA	L	L
APOA2	NA	L	L
S100A12	NA	L	L
ITGB3BP	NA	L	L
SPTAN1	NA	L	L
BMP8B	NA	L	L
COL16A1	NA	L	L
SYK	NA	L	L
FGF14	NA	L	L
ACTR2	NA	L	L
SHBG	NA	L	L
LAMB3	NA	L	L
CSH2	NA	L	L
COL4A4	NA	L	L
DSCAM	NA	L	L
FBLN2	NA	L	L
PTPN6	NA	L	L
C1QTNF5	NA	L	L
HSPA8	NA	L	L
S100A10	NA	L	L
SHANK2	NA	L	L
LGALS8	NA	L	L
S100A4	NA	L	L
CALML3	NA	L	L
RIMS1	NA	L	L
KLK3	NA	L	L
HPX	NA	L	L
GSTP1	NA	L	L
CLEC3A	NA	L	L
CCN6	NA	L	L
CRISP3	NA	L	L
HSPA1A	NA	L	L
GC	NA	L	L
CUBN	NA	L	L
PTPN11	NA	L	L
ARF4	NA	L	L
LRIG2	NA	L	L
MFAP5	NA	L	L
MFAP2	NA	L	L
SPINT1	NA	L	L
SORBS1	NA	L	L
FGF12	NA	L	L
WNT8B	NA	L	L
CGB5	NA	L	L
YARS1	NA	L	L
NUCB2	NA	L	L
ACE2	NA	L	L
CER1	NA	L	L
CRISP2	NA	L	L
PDX1	NA	L	L
DKK3	NA	L	L
OBP2A	NA	L	L
PIGA	NA	L	L
GSTO1	NA	L	L
ADA	NA	L	L
CEACAM16	NA	L	L
IRAK4	NA	L	L
ALOX5AP	NA	L	L
COL8A2	NA	L	L
SPTBN2	NA	L	L
APOC1	NA	L	L
APOC4	NA	L	L
SYTL3	NA	L	L
GDF10	NA	L	L
GRM7	NA	R	R
GPR20	NA	R	R
ADRB3	NA	R	R
GPR84	NA	R	R
EPHA10	NA	R	R
GPR171	NA	R	R
TPO	NA	R	R
GPR25	NA	R	R
SMAD3	NA	R	R
ADORA2A	NA	R	R
HTR2A	NA	R	R
TMPRSS6	NA	R	R
ESAM	NA	R	R
GABBR2	NA	R	R
MTTP	NA	R	R
RIPK1	NA	R	R
RYR2	NA	R	R
TRAF2	NA	R	R
IFITM1	NA	R	R
HTR7	NA	R	R
HTR1A	NA	R	R
HTR1F	NA	R	R
HTR1D	NA	R	R
HTR4	NA	R	R
HTR6	NA	R	R
HTR1B	NA	R	R
HTR2B	NA	R	R
HTR5A	NA	R	R
HTR1E	NA	R	R
MCFD2	NA	R	R
CHRNA4	NA	R	R
CDH2	NA	R	R
RXRA	NA	R	R
GPNMB	NA	R	R
TSPAN5	NA	R	R
TSPAN15	NA	R	R
TSPAN10	NA	R	R
TSPAN14	NA	R	R
TSPAN17	NA	R	R
SCARA5	NA	R	R
STAB2	NA	R	R
SIGIRR	NA	R	R
COL17A1	NA	R	R
VANGL2	NA	R	R
ANTXR1	NA	R	R
TLR1	NA	R	R
NPTXR	NA	R	R
FLRT3	NA	R	R
HRH1	NA	R	R
HRH2	NA	R	R
HRH3	NA	R	R
OCLN	NA	R	R
KCNQ3	NA	R	R
KCNQ5	NA	R	R
MYLK	NA	R	R
PDE1A	NA	R	R
ADCY8	NA	R	R
PDE1C	NA	R	R
SCN10A	NA	R	R
PLPP6	NA	R	R
AQP6	NA	R	R
MYLK2	NA	R	R
AQP1	NA	R	R
SCN4A	NA	R	R
KCNJ4	NA	R	R
IL18BP	NA	R	R
LRP10	NA	R	R
PLD1	NA	R	R
AGER	NA	R	R
RECK	NA	R	R
CCBE1	NA	R	R
AQP5	NA	R	R
ESR1	NA	R	R
MUC6	NA	R	R
MUC5AC	NA	R	R
TRPM3	NA	R	R
RYR1	NA	R	R
ADGRB2	NA	R	R
ADGRL2	NA	R	R
EZR	NA	R	R
MSN	NA	R	R
P2RX7	NA	R	R
NRSN1	NA	R	R
SCUBE2	NA	R	R
SMAP1	NA	R	R
TLR9	NA	R	R
TLR7	NA	R	R
TRADD	NA	R	R
GRIN2B	NA	R	R
KCNA3	NA	R	R
KCND2	NA	R	R
GRIN2A	NA	R	R
TMEM219	NA	R	R
MDGA1	NA	R	R
CDH5	NA	R	R
GP1BB	NA	R	R
RHBDF2	NA	R	R
S1PR5	NA	R	R
S1PR3	NA	R	R
PTPRU	NA	R	R
DRD2	NA	R	R
ADCY7	NA	R	R
RACK1	NA	R	R
KLRG2	NA	R	R
IZUMO1R	NA	R	R
SLC16A2	NA	R	R
CD247	NA	R	R
PTGER3	NA	R	R
GJB2	NA	R	R
TMED5	NA	R	R
RHAG	NA	R	R
GRM3	NA	R	R
GRM4	NA	R	R
TRPC3	NA	R	R
PTPRA	NA	R	R
FCER1A	NA	R	R
ALOX5	NA	R	R
ADGRV1	NA	R	R
SORCS2	NA	R	R
TRPV1	NA	R	R
MAGED1	NA	R	R
TRAF3	NA	R	R
LAT	NA	R	R
CD3G	NA	R	R
CLDN4	NA	R	R
SLC1A5	NA	R	R
PDCD2	NA	R	R
HFE	NA	R	R
GPR42	NA	R	R
CD300LF	NA	R	R
FFAR2	NA	R	R
MFRP	NA	R	R
KCNQ1	NA	R	R
DRD4	NA	R	R
GLRA2	NA	R	R
KCND1	NA	R	R
SLC17A7	NA	R	R
APLP1	NA	R	R
TSPAN12	NA	R	R
C1QBP	NA	R	R
PDE1B	NA	R	R
PTGER2	NA	R	R
S1PR4	NA	R	R
CD68	NA	R	R
LILRA1	NA	R	R
CLEC10A	NA	R	R
LYVE1	NA	R	R
KIDINS220	NA	R	R
MIP	NA	R	R
MGRN1	NA	R	R
TRPC5	NA	R	R
KCNN4	NA	R	R
A1BG	NA	R	R
ENPEP	NA	R	R
CACNA1C	NA	R	R
CELSR2	NA	R	R
FCGR2A	NA	R	R
FCRL4	NA	R	R
LY96	NA	R	R
NPTN	NA	R	R
PTGIR	NA	R	R
GPC2	NA	R	R
GRIN2C	NA	R	R
ADCY9	NA	R	R
ERAP1	NA	R	R
SLC18A2	NA	R	R
GPR182	NA	R	R
CD3D	NA	R	R
PTGER4	NA	R	R
SLC6A19	NA	R	R
S1PR1	NA	R	R
CHRM1	NA	R	R
MRC2	NA	R	R
CATSPER1	NA	R	R
GPRC6A	NA	R	R
ADGRE2	NA	R	R
SLC2A2	NA	R	R
CNGA2	NA	R	R
OR1G1	NA	R	R
MS4A4A	NA	R	R
SLC37A1	NA	R	R
CLEC12A	NA	R	R
PIGR	NA	R	R
TRPV6	NA	R	R
TECTB	NA	R	R
ADGRL4	NA	R	R
SLC18A3	NA	R	R
CNR2	NA	R	R
SLC4A11	NA	R	R
TECTA	NA	R	R
TRPM2	NA	R	R
